timestamp,Influenza,count
datetime, float, float
T,,
2005-01-30,5.2,12.333333333333334
2005-02-06,9.6,19.666666666666668
2005-02-13,18.4,28.333333333333332
2005-02-20,17.8,47.666666666666664
2005-02-27,26.8,64.33333333333333
2005-03-06,26.8,82.0
2005-03-13,22.4,90.0
2005-03-20,19.0,80.33333333333333
2005-03-27,14.4,55.0
2005-04-03,12.4,26.0
2005-04-10,12.4,10.0
2005-04-17,12.4,4.0
2005-04-24,7.0,3.6666666666666665
2005-05-01,7.0,2.0
2005-05-08,4.2,2.3333333333333335
2005-05-15,4.2,1.3333333333333333
2005-05-22,4.2,1.3333333333333333
2005-05-29,4.2,0.3333333333333333
2005-06-05,4.2,0.3333333333333333
2005-06-12,0.0,0.0
2005-06-19,4.4,0.0
2005-06-26,4.4,0.0
2005-07-03,4.4,0.0
2005-07-10,4.4,1.0
2005-07-17,4.4,1.0
2005-07-24,4.4,1.0
2005-07-31,4.4,0.0
2005-08-07,4.4,0.0
2005-08-14,4.4,0.3333333333333333
2005-08-21,4.4,0.3333333333333333
2005-08-28,0.0,0.3333333333333333
2005-09-04,0.0,0.0
2005-09-11,0.0,0.0
2005-09-18,0.0,0.3333333333333333
2005-09-25,4.2,0.6666666666666666
2005-10-02,13.6,0.6666666666666666
2005-10-09,17.8,0.3333333333333333
2005-10-16,17.8,0.0
2005-10-23,21.6,0.0
2005-10-30,17.4,0.3333333333333333
2005-11-06,8.0,0.3333333333333333
2005-11-13,3.8,0.3333333333333333
2005-11-20,7.8,0.0
2005-11-27,8.0,0.0
2005-12-04,8.0,0.3333333333333333
2005-12-11,8.0,0.3333333333333333
2005-12-18,8.0,0.3333333333333333
2005-12-25,4.0,0.0
2006-01-01,0.0,0.0
2006-01-08,7.0,0.0
2006-01-15,10.4,0.0
2006-01-22,13.8,0.0
2006-01-29,13.8,0.0
2006-02-05,13.8,0.3333333333333333
2006-02-12,10.0,1.3333333333333333
2006-02-19,13.2,2.3333333333333335
2006-02-26,13.0,3.6666666666666665
2006-03-05,16.0,4.333333333333333
2006-03-12,16.0,8.333333333333334
2006-03-19,12.8,13.666666666666666
2006-03-26,6.2,31.0
2006-04-02,3.0,45.666666666666664
2006-04-09,3.6,50.333333333333336
2006-04-16,7.2,37.0
2006-04-23,7.2,21.0
2006-04-30,7.2,11.333333333333334
2006-05-07,10.6,7.0
2006-05-14,7.0,3.6666666666666665
2006-05-21,3.4,1.6666666666666667
2006-05-28,3.4,0.3333333333333333
2006-06-04,3.4,0.0
2006-06-11,3.4,0.0
2006-06-18,3.4,0.0
2006-06-25,3.4,0.0
2006-07-02,3.4,0.0
2006-07-09,6.6,0.0
2006-07-16,6.6,0.0
2006-07-23,10.0,0.0
2006-07-30,10.0,0.0
2006-08-06,10.0,0.0
2006-08-13,6.8,0.0
2006-08-20,3.4,0.0
2006-08-27,2.8,0.0
2006-09-03,2.8,0.0
2006-09-10,5.8,0.0
2006-09-17,8.6,0.0
2006-09-24,11.4,0.3333333333333333
2006-10-01,11.6,0.3333333333333333
2006-10-08,11.6,0.3333333333333333
2006-10-15,8.6,0.3333333333333333
2006-10-22,8.4,0.3333333333333333
2006-10-29,5.6,0.3333333333333333
2006-11-05,2.6,0.0
2006-11-12,2.6,0.0
2006-11-19,2.6,0.0
2006-11-26,0.0,0.0
2006-12-03,4.8,0.0
2006-12-10,7.2,0.0
2006-12-17,7.2,0.0
2006-12-24,7.2,0.0
2007-01-07,9.4,0.3333333333333333
2007-01-14,10.8,0.6666666666666666
2007-01-21,10.4,1.3333333333333333
2007-01-28,10.4,2.6666666666666665
2007-02-04,10.4,8.0
2007-02-11,10.2,15.0
2007-02-18,8.2,32.666666666666664
2007-02-25,12.4,57.333333333333336
2007-03-04,22.8,119.66666666666667
